type,neighborhood,address,price,geo,beds,baths,sqft,url
Rental Unit,Upper West Side,22 West 77th Street #33,"$1,995","40.77981924,-73.97510009",Studio,1 Bath,NA,https://streeteasy.com/building/22-west-77-street-new_york/33
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Co-op,Kew Gardens,125-16 83 Drive #1E,"$1,900","40.70927355,-73.82760914",1 Bed,1 Bath,NA,https://streeteasy.com/building/125_16-83-drive-kew_gardens/1e
Co-op,Carnegie Hill,160 East 91st Street #2B,"$2,100","40.78219986,-73.95279694",Studio,1 Bath,NA,https://streeteasy.com/building/160-east-91-street-new_york/2b
Rental Unit,Yorkville,417 East 81st Street #4C,"$2,395","40.77339935,-73.95050049",Studio,1 Bath,NA,https://streeteasy.com/building/417-east-81-street-new_york/rental/3893002
Co-op,Hudson Heights,100 Overlook Terrace #83,"$1,950","40.85630035,-73.93479919",1 Bed,1 Bath,NA,https://streeteasy.com/building/100-overlook-terrace-new_york/83
Rental Unit,Rego Park,65-04 Booth Street #5C,"$1,575","40.7272133,-73.85995473",Studio,1 Bath,355,https://streeteasy.com/building/65_04-booth-street-rego_park/5c
Rental Unit,Rego Park,62-60 99th Street #1008H,"$2,350","40.7329666,-73.85794728",1 Bed,1 Bath,NA,https://streeteasy.com/building/the-drake/1008h
Condo,Kew Gardens,83-71 116th Street #6D,"$2,000","40.70459148,-73.83545502",1 Bed,1 Bath,700,https://streeteasy.com/building/83_71-116-street-richmond_hill/6d
Rental Unit,Kew Gardens,118-80 Metro Avenue #EE1,"$1,800","40.7059814,-73.83238943",Studio,1 Bath,NA,https://streeteasy.com/building/the-wakehurst-place/ee1
Rental Unit,Rego Park,66-23 Austin Street #2C,"$1,975","40.72487921,-73.85687497",1 Bed,1 Bath,800,https://streeteasy.com/building/66_23-austin-street-rego_park/rental/3892533
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Manhattan Valley,908 Amsterdam Avenue #5C,"$2,350","40.79960938,-73.96672043",Studio,1 Bath,NA,https://streeteasy.com/building/908-amsterdam-avenue-new_york/5c?featured=1
Rental Unit,Stuyvesant Heights,879 Park Avenue #1A,"$2,400","40.69893216,-73.93994271",1 Bed,1.5 Baths,NA,https://streeteasy.com/building/879-park-avenue-brooklyn/1a
Co-op,Rego Park,97-07 63 Road #7,"$1,950","40.7322998,-73.85990143",1 Bed,1 Bath,800,https://streeteasy.com/building/97_01-63-road-rego_park/7
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Lenox Hill,415 East 73rd Street #5E,"$2,400","40.76825755,-73.95437855",Studio,1 Bath,NA,https://streeteasy.com/building/415-east-73-street-new_york/5e
Co-op,Forest Hills,67-50 Thornton Place #4K,"$1,750","40.72029577,-73.85712652",1 Bed,1 Bath,NA,https://streeteasy.com/building/67_50-thornton-place-forest_hills/4k
Co-op,Vinegar Hill,167 Sands Street #601,"$2,250","40.70019011,-73.98412796",1 Bed,1 Bath,NA,https://streeteasy.com/building/167-sands-street-brooklyn/601
Co-op,Forest Hills,69-06 108th Street APT-503,"$2,200","40.72449875,-73.84570313",1 Bed,1 Bath,800,https://streeteasy.com/building/69_10-108-street-forest_hills/apt-503
Rental Unit,Astoria,31-43 Vernon Boulevard #508,"$2,376","40.76819992,-73.93560028",Studio,1 Bath,451,https://streeteasy.com/building/vernon-tower/508
Rental Unit,Park Slope,262 9th Street #310,"$2,300","40.66995972,-73.98856909",Studio,1 Bath,NA,https://streeteasy.com/building/the-deermar/310
Co-op,Forest Hills,67-12 Yellowston Boulevard #C23,"$2,250","40.72800064,-73.84970093",1 Bed,1 Bath,800,https://streeteasy.com/building/67_12-yellowstone-blvd-forest_hills/c23
Rental Unit,Astoria,25-16 33rd Street #17,"$2,180","40.76948852,-73.91731884",1 Bed,1 Bath,NA,https://streeteasy.com/building/25_16-33-street-astoria/17
Co-op,Forest Hills,99-21 67 Road #1B,"$1,700","40.72453307,-73.85444767",Studio,1 Bath,NA,https://streeteasy.com/building/99_21-67-road-forest_hills/1b
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Manhattan Valley,908 Amsterdam Avenue #5C,"$2,350","40.79960938,-73.96672043",Studio,1 Bath,NA,https://streeteasy.com/building/908-amsterdam-avenue-new_york/5c?featured=1
Rental Unit,Rego Park,64-20 Saunders Street #206,"$2,250","40.72809982,-73.86019897",1 Bed,1 Bath,810,https://streeteasy.com/building/the-california/206
Rental Unit,Fort George,105 Arden Street #1C,"$2,100","40.86454014,-73.92846618",Studio,1 Bath,500,https://streeteasy.com/building/tryon-views/1c
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Fort George,4410 Broadway #6J,"$1,895","40.85491443,-73.93295534",1 Bed,1 Bath,NA,https://streeteasy.com/building/4410-broadway-new_york/rental/3889718
Rental Unit,Turtle Bay,214 East 51st Street #1G,"$2,350","40.75593046,-73.96965149",Studio,1 Bath,NA,https://streeteasy.com/building/214-east-51-street-new_york/1g
Co-op,Murray Hill,25 Tudor City Place #1303,"$2,300","40.74869919,-73.97049713",Studio,1 Bath,NA,https://streeteasy.com/building/25-tudor-city-place-new_york/1303
Co-op,Astoria,14-23 31st Avenue #4C,"$1,900","40.76819656,-73.93107511",1 Bed,1 Bath,500,https://streeteasy.com/building/14_17-31-avenue-astoria/rental/3889452
Rental Unit,Prospect Lefferts Gardens,1283 Nostrand Avenue #1R,"$1,800","40.65577805,-73.94980623",Studio,1 Bath,NA,https://streeteasy.com/building/1283-nostrand-avenue-brooklyn/1r
Co-op,Hudson Heights,45 Overlook Terrace #5B,"$2,400","40.85340695,-73.93668007",1 Bed,1 Bath,NA,https://streeteasy.com/building/45-overlook-terrace-new_york/rental/3889273
Rental Unit,Flushing,143-08 Roosevelt Avenue #609,"$1,500","40.76078703,-73.8238805",Studio,1 Bath,NA,https://streeteasy.com/building/143_08-roosevelt-avenue-flushing/609
Rental Unit,Hudson Heights,590 Fort Washington Avenue #4J4,"$2,300","40.85451032,-73.9366754",1 Bed,1 Bath,NA,https://streeteasy.com/building/590-ft-washington-avenue-new_york/4j4
Rental Unit,Kew Gardens,83-43 118th Street #1C,"$1,750","40.7057991,-73.83380127",1 Bed,1 Bath,NA,https://streeteasy.com/building/83_43-118-street-kew_gardens/1c
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Astoria,31-43 Vernon Boulevard #508,"$2,376","40.76819992,-73.93560028",Studio,1 Bath,451,https://streeteasy.com/building/vernon-tower/508?featured=1
Rental Unit,Prospect Park South,1915 Beverley Road #303,"$2,500","40.6447869,-73.9605697",Studio,1 Bath,NA,https://streeteasy.com/building/1915-beverley-road-brooklyn/303
Rental Unit,Rego Park,93-24 Queens Boulevard #6O,"$1,900","40.7311899,-73.86641939",1 Bed,1 Bath,750,https://streeteasy.com/building/93_10-queens-boulevard-rego_park/6o
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Fort Hamilton,226 97th Street #C4,"$1,895","40.61582795,-74.03451705",1 Bed,1 Bath,1,https://streeteasy.com/building/9702-3-avenue-brooklyn/c4
Rental Unit,Fort Hamilton,9229 Shore Road #6C,"$2,000","40.62003123,-74.0398936",Studio,1 Bath,NA,https://streeteasy.com/building/9229-shore-road-brooklyn/6c
Condo,Rego Park,65-50 Wetherole Street #1C,"$1,600","40.72569137,-73.85886115",Studio,1 Bath,495,https://streeteasy.com/building/65_50-wetherole-street-rego_park/1c
Rental Unit,Forest Hills,103-19 68 Road #2A,"$1,800","40.72553406,-73.84951718",Studio,1 Bath,NA,https://streeteasy.com/building/103_19-68-road-forest_hills/2a
Rental Unit,Hell's Kitchen,353 West 44th Street #1C,"$2,500","40.75971087,-73.99106242",Studio,1 Bath,NA,https://streeteasy.com/building/353-west-44-street-new_york/1c
Co-op,Forest Hills,66-08 111st Street #1B,"$1,980","40.73139954,-73.84539795",1 Bed,1 Bath,NA,https://streeteasy.com/building/111_01-66-avenue-forest_hills/1b
Co-op,Hudson Heights,340 Haven Avenue #2D,"$2,200","40.85110092,-73.94159698",1 Bed,1 Bath,NA,https://streeteasy.com/building/lafayette-gardens-340-haven-avenue-new_york/2d
Co-op,Forest Hills,67-12 Yellowstone Boulevard #G4,"$1,800","40.72800064,-73.84970093",Studio,1 Bath,NA,https://streeteasy.com/building/67_12-yellowstone-blvd-forest_hills/g4
Rental Unit,Yorkville,240 East 90th Street #0D,"$2,400","40.7805415,-73.95073044",Studio,1 Bath,NA,https://streeteasy.com/building/240-east-90-street-new_york/0d
Rental Unit,Manhattan Valley,908 Amsterdam Avenue #5C,"$2,350","40.79960938,-73.96672043",Studio,1 Bath,NA,https://streeteasy.com/building/908-amsterdam-avenue-new_york/5c?featured=1
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Hudson Heights,12 Pinehurst Avenue #5II,"$2,200","40.84865241,-73.94050152",1 Bed,1 Bath,NA,https://streeteasy.com/building/12-pinehurst-avenue-new_york/5ii
Rental Unit,Forest Hills,113-11 76 Road #2C,"$2,000","40.71817606,-73.83405426",1 Bed,1 Bath,800,https://streeteasy.com/building/113_11-76-road-forest_hills/2c
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Manhattan Valley,473 Central Park West #5B,"$2,400","40.79910484,-73.95965596",Studio,1 Bath,NA,https://streeteasy.com/building/473-central-park-west-new_york/5b
Rental Unit,Sunset Park,880 47th Street #B5,"$2,100","40.64144476,-74.00019097",1 Bed,1 Bath,NA,https://streeteasy.com/building/880-47-street-brooklyn/b5
Rental Unit,Bay Ridge,130 Bay Ridge Parkway #4,"$1,895","40.63226715,-74.03227381",1 Bed,1 Bath,NA,https://streeteasy.com/building/130-bay-ridge-parkway-brooklyn/4
Rental Unit,Flushing,142-37 38th Avenue #2C,"$2,200","40.76216238,-73.825837",1 Bed,1 Bath,720,https://streeteasy.com/building/142_37-38-avenue-flushing/2c
Rental Unit,Astoria,34-19 30th Street #1J,"$1,938","40.75939793,-73.92824701",Studio,1 Bath,NA,https://streeteasy.com/building/34_17-30-street-astoria/1j
Condo,Ditmars-Steinway,45-02 Ditmars Boulevard #226,"$2,400","40.77000046,-73.9036026",1 Bed,1 Bath,859,https://streeteasy.com/building/pistilli-grand-manor/226
Rental Unit,Manhattan Valley,908 Amsterdam Avenue #5C,"$2,350","40.79960938,-73.96672043",Studio,1 Bath,NA,https://streeteasy.com/building/908-amsterdam-avenue-new_york/5c
Rental Unit,Hell's Kitchen,331 West 43rd Street #2A,"$2,250","40.75871175,-73.9906294",Studio,1 Bath,NA,https://streeteasy.com/building/331-west-43-street-new_york/2a
Co-op,Rego Park,98-33 64th Avenue #1F,"$2,000","40.73100341,-73.85739221",1 Bed,1 Bath,NA,https://streeteasy.com/building/98_33-64-avenue-rego_park/1f
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Manhattan Valley,908 Amsterdam Avenue #5C,"$2,350","40.79960938,-73.96672043",Studio,1 Bath,NA,https://streeteasy.com/building/908-amsterdam-avenue-new_york/5c?featured=1
Rental Unit,Rego Park,97-07 67th Avenue #6J,"$1,750","40.72339096,-73.85640194",1 Bed,1 Bath,675,https://streeteasy.com/building/97_07-67-avenue-rego_park/6j
Rental Unit,Lenox Hill,1380 York Avenue #1B,"$2,100","40.76786711,-73.95267123",Studio,1 Bath,NA,https://streeteasy.com/building/1380-york-avenue-new_york/1b
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Flushing,132-49 41 Road #6A,"$2,400","40.75643788,-73.83208921",1 Bed,1 Bath,750,https://streeteasy.com/building/132_49-41-road-flushing/6a
Rental Unit,Bedford-Stuyvesant,78 Herkimer Street #104,"$2,050","40.67947414,-73.95078708",Studio,1 Bath,NA,https://streeteasy.com/building/78-herkimer-street-brooklyn/104
Rental Unit,Hudson Heights,802 West 190th Street #3K,"$1,850","40.8566202,-73.93524549",Studio,1 Bath,NA,https://streeteasy.com/building/802-west-190-street-new_york/3k
Rental Unit,Kew Gardens,83-09 Brevoort Street #6G,"$1,900","40.70524701,-73.82947342",1 Bed,1 Bath,NA,https://streeteasy.com/building/122_04-metropolitan-avenue-kew_gardens/6g
Rental Unit,Fort George,560 Audobon Avenue #77A,"$1,699","40.85660437,-73.9271155",Studio,1 Bath,500,https://streeteasy.com/building/560-audubon-avenue-new_york/77a
Rental Unit,Forest Hills,72-38 113rd Street #4D,"$2,150","40.72090149,-73.83730316",1 Bed,1 Bath,950,https://streeteasy.com/building/72_38-113-street-forest_hills/4d
Rental Unit,Woodside,40-20 69th Street #2F,"$2,250","40.74562532,-73.89647805",1 Bed,1 Bath,NA,https://streeteasy.com/building/40_20-69-street-woodside/2f
Rental Unit,Stuyvesant Heights,1620 Fulton Street #10C,"$2,277","40.679431,-73.9383167",1 Bed,1 Bath,618,https://streeteasy.com/building/the-garnet/10c
Rental Unit,Stuyvesant Heights,1620 Fulton Street #10B,"$2,277","40.679431,-73.9383167",1 Bed,1 Bath,618,https://streeteasy.com/building/the-garnet/10b
Rental Unit,Astoria,31-43 Vernon Boulevard #508,"$2,376","40.76819992,-73.93560028",Studio,1 Bath,451,https://streeteasy.com/building/vernon-tower/508?featured=1
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Stuyvesant Heights,1620 Fulton Street #6D,"$2,277","40.679431,-73.9383167",1 Bed,1 Bath,576,https://streeteasy.com/building/the-garnet/6d
Rental Unit,Stuyvesant Heights,1620 Fulton Street #6A,"$2,277","40.679431,-73.9383167",1 Bed,1 Bath,619,https://streeteasy.com/building/the-garnet/6a
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Washington Heights,735 West 172nd Street #A44,"$2,000","40.84549681,-73.94210188",1 Bed,1 Bath,NA,https://streeteasy.com/building/735-west-172-street-new_york/a44
Rental Unit,Yorkville,502 East 89th Street #2D,"$2,350","40.77754185,-73.94540694",1 Bed,1 Bath,NA,https://streeteasy.com/building/502-east-89-street-new_york/2d
Co-op,Forest Hills,78-14 Austin Street #5J,"$2,000","40.7131396,-73.83417862",1 Bed,1 Bath,NA,https://streeteasy.com/building/78_14-austin-street-forest_hills/5j
Co-op,Forest Hills,69-09 108th Street #109,"$1,550","40.72471842,-73.84503814",Studio,1 Bath,NA,https://streeteasy.com/building/69_09-108-street-forest_hills/109
Co-op,Lincoln Square,140 West 69th Street #106C,"$2,100","40.7757988,-73.98169708",Studio,1 Bath,NA,https://streeteasy.com/building/140-west-69-street-new_york/106c
Rental Unit,Flushing,132-70 Sanford Avenue #3H,"$2,150","40.75536826,-73.83078528",1 Bed,1 Bath,NA,https://streeteasy.com/building/132_70-sanford-avenue-flushing/3h
Rental Unit,Bath Beach,8635 21st Avenue #3E,"$1,550","40.6023781,-73.99659328",Studio,1 Bath,550,https://streeteasy.com/building/8633-21-avenue-brooklyn/3e
Condo,Mapleton,2345 60th Street #6D,"$2,150","40.61476813,-73.97479787",1 Bed,1 Bath,482,https://streeteasy.com/building/mapleton-i-condominium/6d
Rental Unit,Kew Gardens,83-45 Lefferts Boulevard #5G,"$2,100","40.70483123,-73.83231297",1 Bed,1 Bath,775,https://streeteasy.com/building/83_45-lefferts-boulevard-kew_gardens/5g
Rental Unit,Astoria,31-43 Vernon Boulevard #508,"$2,376","40.76819992,-73.93560028",Studio,1 Bath,451,https://streeteasy.com/building/vernon-tower/508?featured=1
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Co-op,Kew Gardens,83-60 118th Street #12K,"$1,875","40.70538357,-73.83465236",1 Bed,1 Bath,NA,https://streeteasy.com/building/83_60-118-street-kew_gardens/12k
Rental Unit,Upper East Side,66 East 80th Street #2B,"$2,395","40.77637334,-73.96073485",Studio,1 Bath,NA,https://streeteasy.com/building/66-east-80-street-new_york/2b
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Co-op,Prospect Park South,1701 Albemarle Road #A9,"$1,900","40.64716178,-73.96330098",Studio,1 Bath,NA,https://streeteasy.com/building/berkley-square/a9
Rental Unit,Yorkville,518 East 80th Street #4C,"$2,200","40.77135129,-73.94882738",Studio,1 Bath,NA,https://streeteasy.com/building/518-east-80-street-new_york/4c
Rental Unit,Flushing,132-25 Maple Avenue #5L,"$2,050","40.75453525,-73.83173667",1 Bed,1 Bath,NA,https://streeteasy.com/building/stoneridge-apartments/5l
Rental Unit,Weeksville,1262 Park Place #3,"$2,350","40.67231925,-73.93561189",1 Bed,1 Bath,NA,https://streeteasy.com/building/1262-park-place-brooklyn/3
Co-op,Turtle Bay,45 Tudor City Place #1716,"$2,300","40.74940109,-73.96990204",Studio,1 Bath,NA,https://streeteasy.com/building/45-tudor-city-place-new_york/1716
Co-op,Lenox Hill,311 East 75th Street #3C,"$2,250","40.77059937,-73.95600128",Studio,1 Bath,NA,https://streeteasy.com/building/311-east-75-street-new_york/3c
Co-op,Rego Park,66-10 Thornton Place #3D,"$2,000","40.72334113,-73.85827446",1 Bed,1.5 Baths,750,https://streeteasy.com/building/66_10-thornton-place-rego_park/3d
Rental Unit,Yorkville,523 East 83rd Street #1WF,"$2,095","40.77360153,-73.94709778",Studio,1 Bath,NA,https://streeteasy.com/building/523-east-83-street-new_york/1wf
Rental Unit,Hudson Heights,482 Ft Washington Avenue #3H,"$2,100","40.85144506,-73.93773742",1 Bed,1 Bath,NA,https://streeteasy.com/building/482-ft-washington-avenue-new_york/3h
Rental Unit,Manhattan Valley,908 Amsterdam Avenue #5C,"$2,350","40.79960938,-73.96672043",Studio,1 Bath,NA,https://streeteasy.com/building/908-amsterdam-avenue-new_york/5c?featured=1
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Co-op,Rego Park,66-15 Wetherole Street #C18,"$1,750","40.72568586,-73.85662429",1 Bed,1 Bath,NA,https://streeteasy.com/building/66_15-wetherole-street-rego_park/c18
Condo,Prospect Park South,17 East 17th Street #C3,"$2,300","40.65060043,-73.96399689",1 Bed,1 Bath,NA,https://streeteasy.com/building/the-presidio-condominiums/rental/3871780
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Lincoln Square,248 West 64th Street #2G,"$2,150","40.77429962,-73.98760223",Studio,1 Bath,NA,https://streeteasy.com/building/244-west-64-street-new_york/2g
Rental Unit,Clinton Hill,266 Washington Avenue #C12,"$2,400","40.69052208,-73.96678569",Studio,1 Bath,NA,https://streeteasy.com/building/266-washington-avenue-brooklyn/c12
Co-op,Murray Hill (Queens),144-24 37th Avenue #5I,"$1,800","40.76355042,-73.8217253",1 Bed,1 Bath,NA,https://streeteasy.com/building/144_24-37-avenue-flushing/5i
Co-op,Rego Park,66-15 Thornton Place #6H,"$2,000","40.72312887,-73.85752811",1 Bed,1 Bath,650,https://streeteasy.com/building/66_15-thornton-place-rego_park/6h
Co-op,Murray Hill,5 Tudor City Place #1518,"$2,200","40.7478981,-73.97090149",Studio,1 Bath,NA,https://streeteasy.com/building/5-tudor-city-place-new_york/1518
Rental Unit,Clinton Hill,395 Washington Avenue #7,"$1,950","40.6866103,-73.96514343",Studio,1 Bath,400,https://streeteasy.com/building/395-washington-avenue-brooklyn/7
Rental Unit,Fort George,247 Wadsworth Avenue #3W,"$2,250","40.85245215,-73.93248067",1 Bed,1 Bath,NA,https://streeteasy.com/building/245-wadsworth-avenue-new_york/3w
Rental Unit,Stuyvesant Heights,317 Bainbridge Street #1,"$1,750","40.68200945,-73.92399289",Studio,1 Bath,NA,https://streeteasy.com/building/317-bainbridge-street-brooklyn/1
Rental Unit,Rego Park,89-11 63 Drive #105,"$2,125","40.72534016,-73.86585025",1 Bed,1 Bath,1,https://streeteasy.com/building/89_11-63-drive-rego_park/105
Rental Unit,Astoria,31-43 Vernon Boulevard #508,"$2,376","40.76819992,-73.93560028",Studio,1 Bath,451,https://streeteasy.com/building/vernon-tower/508?featured=1
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Washington Heights,1224 Saint Nicholas' Avenue #2B,"$1,695","40.84301069,-73.93793687",Studio,1 Bath,NA,https://streeteasy.com/building/1224-st-nicholas-avenue-new_york/2b
Rental Unit,Forest Hills,68-64 Yellowston Boulevard #B62,"$2,300","40.72469169,-73.8476322",1 Bed,1 Bath,NA,https://streeteasy.com/building/68_64-yellowstone-blvd-forest_hills/b62
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Hudson Heights,455 Fort Washington Avenue #4A,"$2,100","40.85050968,-73.93879015",1 Bed,1 Bath,NA,https://streeteasy.com/building/455-ft-washington-avenue-new_york/4a
Rental Unit,Flushing,142-10 Roosevelt Avenue #304,"$1,725","40.76028216,-73.82579499",1 Bed,1 Bath,NA,https://streeteasy.com/building/142_10-roosevelt-avenue-flushing/304
Co-op,Kew Gardens,82-40 Austin Street #1K,"$1,650","40.71008524,-73.83079924",Studio,1 Bath,500,https://streeteasy.com/building/82_40-austin-street-kew_gardens/1k
Rental Unit,Fort George,475 West 186th Street #5K,"$2,164","40.85103297,-73.92767464",1 Bed,1 Bath,NA,https://streeteasy.com/building/475-west-186-street-new_york/5k
Rental Unit,Fort George,475 West 186th Street #5A,"$1,900","40.85103297,-73.92767464",Studio,1 Bath,NA,https://streeteasy.com/building/475-west-186-street-new_york/5a
