type,neighborhood,address,price,geo,beds,baths,sqft,url
Rental Unit,Kew Gardens,83-43 118th Street #5,"$1,950","40.7057991,-73.83380127",1 Bed,1 Bath,850,https://streeteasy.com/building/83_43-118-street-kew_gardens/5
Rental Unit,Kew Gardens,83-57 118th Street #1D,"$1,700","40.70578309,-73.83381099",1 Bed,1 Bath,650,https://streeteasy.com/building/83_57-118-street-kew_gardens/1d
Rental Unit,Bay Ridge,235 73rd Street #10,"$1,500","40.63337703,-74.0285526",1 Bed,1 Bath,NA,https://streeteasy.com/building/235-73-street-brooklyn/10
Rental Unit,Bay Ridge,7420 Ridge Boulevard #3H,"$2,175","40.63240051,-74.03089905",1 Bed,1 Bath,806,https://streeteasy.com/building/the-ridge-7420/3h
Rental Unit,Stuyvesant Heights,192 Stuyvesant Avenue #2F,"$2,218","40.68857533,-73.93347957",1 Bed,1 Bath,NA,https://streeteasy.com/building/192-stuyvesant-avenue-brooklyn/2f
Rental Unit,Lincoln Square,30 West 60th Street #1N,"$2,200","40.76890182,-73.98419952",Studio,1 Bath,NA,https://streeteasy.com/building/30-west-60-street-new_york/1n
Co-op,Kew Gardens Hills,149-05 79th Avenue #320,"$1,775","40.72009458,-73.81423684",1 Bed,1 Bath,800,https://streeteasy.com/building/149_05-79-avenue-flushing/320
Rental Unit,Lenox Hill,425 East 74th Street #3D,"$2,400","40.76882277,-73.95387635",Studio,1 Bath,NA,https://streeteasy.com/building/425-east-74-street-new_york/3d
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Astoria,31-43 Vernon Boulevard #508,"$2,376","40.76819992,-73.93560028",Studio,1 Bath,451,https://streeteasy.com/building/vernon-tower/508?featured=1
Rental Unit,Astoria,30-41 43rd Street #1,"$2,000","40.76160534,-73.91320625",Studio,1 Bath,NA,https://streeteasy.com/building/30_41-43-street-astoria/rental/3897621
Rental Unit,Manhattan Valley,82 West 105th Street #4C,"$2,295","40.79827166,-73.96328268",Studio,1 Bath,NA,https://streeteasy.com/building/the-parker-house/4c
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Hudson Heights,110 Bennett Avenue #6B,"$2,250","40.85376848,-73.93529526",1 Bed,1 Bath,645,https://streeteasy.com/building/110-bennett-avenue-new_york/6b
Condo,Stuyvesant Heights,340 Chauncey Street #A,"$2,250","40.68140476,-73.91874044",1 Bed,1 Bath,NA,https://streeteasy.com/building/340-chauncey-street-brooklyn/a
Rental Unit,Bay Ridge,7005 Shore Road #1,"$2,250","40.63760478,-74.03562365",1 Bed,1 Bath,NA,https://streeteasy.com/building/7005-shore-road-brooklyn/1
Rental Unit,Rego Park,64-33 98th Street #2A,"$1,650","40.72961943,-73.85688643",Studio,1 Bath,NA,https://streeteasy.com/building/64_33-98-street-rego_park/2a
Rental Unit,East Village,255 East 10th Street #4D,"$2,395","40.72865595,-73.98358359",Studio,1 Bath,NA,https://streeteasy.com/building/255-east-10-street-new_york/4d
Rental Unit,Bedford-Stuyvesant,1257 Bedford Avenue #1/F,"$2,400","40.68013103,-73.9529354",1 Bed,1 Bath,NA,https://streeteasy.com/building/1257-bedford-avenue-brooklyn/1f
Rental Unit,Bath Beach,8635 21st Avenue #7N,"$1,900","40.6023781,-73.99659328",1 Bed,1 Bath,NA,https://streeteasy.com/building/8633-21-avenue-brooklyn/7n
Rental Unit,Rego Park,65-61 Saunders Street #4G,"$2,010","40.72744861,-73.8571184",1 Bed,1 Bath,1,https://streeteasy.com/building/65_61-saunders-street-rego_park/4g
Rental Unit,Murray Hill,314 East 41st Street #303B,"$1,950","40.74860001,-73.9720993",Studio,1 Bath,275,https://streeteasy.com/building/314-east-41-street-new_york/303b
Rental Unit,Manhattan Valley,908 Amsterdam Avenue #5C,"$2,350","40.79960938,-73.96672043",Studio,1 Bath,NA,https://streeteasy.com/building/908-amsterdam-avenue-new_york/5c?featured=1
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Condo,Middle Village,62-98 Woodhaven Boulevard #5K,"$2,200","40.72441301,-73.86972598",1 Bed,1 Bath,721,https://streeteasy.com/building/62_98-woodhaven-boulevard-middle_village/rental/3897115
Co-op,Upper West Side,235 West 102nd Street #14FF,"$2,200","40.7989006,-73.9693985",Studio,1 Bath,NA,https://streeteasy.com/building/the-broadmoor-235-west-102-street-new_york/14ff
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Murray Hill (Queens),41-11 Parsons Boulevard #505,"$1,625","40.76040621,-73.82077353",Studio,1 Bath,NA,https://streeteasy.com/building/144_20-41-avenue-flushing/505
Rental Unit,Murray Hill (Queens),144-45 35th Avenue #1G,"$1,650","40.76645219,-73.82209298",Studio,1 Bath,NA,https://streeteasy.com/building/144_45-35-avenue-flushing/1g
Rental Unit,Murray Hill (Queens),144-45 35th Avenue #4S,"$1,874","40.76645219,-73.82209298",1 Bed,1 Bath,NA,https://streeteasy.com/building/144_45-35-avenue-flushing/4s
Co-op,Murray Hill,314 East 41st Street #203B,"$2,100","40.74860001,-73.9720993",Studio,1 Bath,300,https://streeteasy.com/building/314-east-41-street-new_york/203b
Rental Unit,Prospect Lefferts Gardens,225 Winthrop Street #2E,"$2,400","40.65716811,-73.95264525",1 Bed,1 Bath,NA,https://streeteasy.com/building/225-winthrop-street-brooklyn/2e
Co-op,Washington Heights,70 Haven Avenue #4D,"$2,400","40.84379959,-73.94309998",1 Bed,1 Bath,700,https://streeteasy.com/building/70-haven-avenue-new_york/rental/3896890
Rental Unit,Park Slope,218 Saint John's Place #4F,"$2,350","40.67567169,-73.97277401",1 Bed,1 Bath,NA,https://streeteasy.com/building/218-st-johns-place-brooklyn/4f
Co-op,Kips Bay,215 East 24th Street #312A,"$2,400","40.73929977,-73.98169708",Studio,1 Bath,NA,https://streeteasy.com/building/penny-lane/312a
Rental Unit,Lincoln Square,243 West 63rd Street #3E,"$2,250","40.77399826,-73.98770142",Studio,1 Bath,NA,https://streeteasy.com/building/243-west-63-street-new_york/3e
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Manhattan Valley,908 Amsterdam Avenue #5C,"$2,350","40.79960938,-73.96672043",Studio,1 Bath,NA,https://streeteasy.com/building/908-amsterdam-avenue-new_york/5c?featured=1
Co-op,Manhattan Valley,2790 Broadway #2D,"$2,249","40.80250168,-73.96730042",1 Bed,1 Bath,NA,https://streeteasy.com/building/2790-broadway-new_york/2d
Rental Unit,Washington Heights,79 Haven Avenue #15,"$2,300","40.84413006,-73.94233438",1 Bed,1 Bath,500,https://streeteasy.com/building/79-haven-avenue-new_york/15
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Condo,Fort Hamilton,131 95th Street #3E,"$2,300","40.61700058,-74.03780365",1 Bed,1 Bath,800,https://streeteasy.com/building/127-95-street-brooklyn/3e
Co-op,Yorkville,519 East 81st Street #A,"$1,995","40.77245168,-73.94827776",Studio,1 Bath,NA,https://streeteasy.com/building/519-east-81-street-new_york/a
Rental Unit,Murray Hill (Queens),144-45 35th Avenue #5O,"$1,875","40.76645219,-73.82209298",1 Bed,1 Bath,850,https://streeteasy.com/building/144_45-35-avenue-flushing/5o
Rental Unit,Bay Ridge,321 76th Street #C13,"$1,325","40.63079999,-74.02727253",Studio,1 Bath,411,https://streeteasy.com/building/321-76-street-brooklyn/c13
Rental Unit,Flushing,41-10 Bowne Street #6Z,"$2,100","40.75933019,-73.82428864",1 Bed,1 Bath,900,https://streeteasy.com/building/41_10-bowne-street-flushing/6z
Rental Unit,Flushing,41-12 Parsons Boulevard #300,"$1,625","40.7599958,-73.8216157",Studio,1 Bath,550,https://streeteasy.com/building/41_12-parsons-boulevard-flushing/300
Rental Unit,Stuyvesant Heights,349 Chauncey Street #1,"$2,250","40.68166397,-73.92047074",1 Bed,1 Bath,NA,https://streeteasy.com/building/349-chauncey-street-brooklyn/1
Rental Unit,Forest Hills,111-32 76th Avenue #5F,"$2,150","40.71689472,-73.83629402",1 Bed,1 Bath,NA,https://streeteasy.com/building/111_32-76-avenue-forest_hills/5f
Rental Unit,Bath Beach,289 Bay 17th Street #A13,"$1,650","40.60200119,-74.0089035",1 Bed,1 Bath,738,https://streeteasy.com/building/289-bay-17-street-brooklyn/a13
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Manhattan Valley,908 Amsterdam Avenue #5C,"$2,350","40.79960938,-73.96672043",Studio,1 Bath,NA,https://streeteasy.com/building/908-amsterdam-avenue-new_york/5c?featured=1
Rental Unit,Washington Heights,80 Haven Avenue #1Z,"$2,275","40.84418808,-73.94308972",1 Bed,1 Bath,NA,https://streeteasy.com/building/80-haven-avenue-new_york/1z
Rental Unit,Kew Gardens,83-46 118th Street #1E,"$1,700","40.70572686,-73.83479218",1 Bed,1 Bath,750,https://streeteasy.com/building/83_46-118-street-kew_gardens/1e
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Rental Unit,Flushing,143-45 Sanford Avenue #407,"$2,150","40.75891169,-73.82165831",1 Bed,1 Bath,NA,https://streeteasy.com/building/143_45-sanford-avenue-flushing/407
Rental Unit,Flushing,132-70 Sanford Avenue #4G,"$2,100","40.75536826,-73.83078528",1 Bed,1 Bath,NA,https://streeteasy.com/building/132_70-sanford-avenue-flushing/4g
Rental Unit,Flushing,132-70 Sanford Avenue #5D,"$2,150","40.75536826,-73.83078528",1 Bed,1 Bath,NA,https://streeteasy.com/building/132_70-sanford-avenue-flushing/5d
Rental Unit,Park Slope,435 Seventh Avenue #1B,"$2,200","40.66330861,-73.98419801",Studio,1 Bath,NA,https://streeteasy.com/building/435-7-avenue-brooklyn/1b
Rental Unit,Murray Hill (Queens),151-10 35th Avenue #0FF,"$1,899","40.76593479,-73.81256389",1 Bed,1 Bath,NA,https://streeteasy.com/building/151_10-35-avenue-flushing/0ff
Rental Unit,Flushing,143-45 Sanford Avenue #508,"$1,700","40.75891169,-73.82165831",Studio,1 Bath,NA,https://streeteasy.com/building/143_45-sanford-avenue-flushing/508
Rental Unit,West Harlem,25 Saint Nicholas Terrace #47,"$2,250","40.81323445,-73.95189839",1 Bed,1 Bath,NA,https://streeteasy.com/building/25-st-nicholas-terrace-new_york/47
Co-op,Forest Hills,67-30 Dartmouth Street #6G,"$1,650","40.72118669,-73.8562191",Studio,1 Bath,NA,https://streeteasy.com/building/67_30-dartmouth-street-forest_hills/6g
Rental Unit,Ocean Hill,2164 Fulton Street #1R,"$2,200","40.67799761,-73.91017488",Studio,1 Bath,NA,https://streeteasy.com/building/2164-fulton-street-brooklyn/1r
Rental Unit,Astoria,31-43 Vernon Boulevard #508,"$2,376","40.76819992,-73.93560028",Studio,1 Bath,451,https://streeteasy.com/building/vernon-tower/508?featured=1
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?featured=1
Rental Unit,Yorkville,320 East 85th Street #2A,"$2,395","40.77663881,-73.95151321",1 Bed,1 Bath,NA,https://streeteasy.com/building/320-east-85-street-new_york/2a
Co-op,Sunnyside,41-41 43rd Street #F19,"$2,200","40.745554,-73.92074815",1 Bed,1 Bath,560,https://streeteasy.com/building/41_41-43-street-sunnyside/f19
Rental Unit,Rego Park,61-55 Junction Boulevard #16J,"$2,395","40.73300171,-73.86299896",Studio,1 Bath,516,https://streeteasy.com/building/the-alexander-61_55-junction-boulevard-rego_park/16j?infeed=1
Co-op,Hudson Heights,120 Bennett Avenue #3D,"$2,400","40.85427336,-73.93503812",1 Bed,1 Bath,NA,https://streeteasy.com/building/120-bennett-avenue-new_york/3d
Rental Unit,Upper West Side,245 West 75th Street #2A,"$2,100","40.78163757,-73.98218756",Studio,1 Bath,NA,https://streeteasy.com/building/245-west-75-street-new_york/2a
Rental Unit,Forest Hills,110-20 73 Road #3,"$2,100","40.71822129,-73.83884122",1 Bed,1 Bath,1,https://streeteasy.com/building/110_20-73-road-forest_hills/3
Rental Unit,Astoria,27-35 21st Street #9D,"$1,900","40.7711141,-73.92643645",Studio,1 Bath,NA,https://streeteasy.com/building/27_35-21-street-astoria/9d
Rental Unit,Forest Hills,75-33 113rd Street #APT22,"$1,700","40.71867156,-73.83505229",Studio,1 Bath,650,https://streeteasy.com/building/75_33-113-street-forest_hills/apt22
Rental Unit,Ocean Hill,524 Chauncey Street #3C,"$2,250","40.68232379,-73.91070987",1 Bed,1 Bath,NA,https://streeteasy.com/building/524-chauncey-street-brooklyn/3c
Co-op,Forest Hills,67-12 Yellowston Boulevard #D22,"$1,850","40.72800064,-73.84970093",Studio,1 Bath,675,https://streeteasy.com/building/67_12-yellowstone-blvd-forest_hills/d22
Co-op,Morningside Heights,140 Claremont Avenue #4E,"$2,250","40.81302385,-73.9611359",1 Bed,1 Bath,285,https://streeteasy.com/building/140-claremont-avenue-new_york/4e
Co-op,Kew Gardens,84-25 118th Street #2E,"$2,100","40.70344078,-73.83310272",1 Bed,1 Bath,840,https://streeteasy.com/building/84_25-118-street-kew_gardens/2e
Rental Unit,Manhattan Valley,908 Amsterdam Avenue #5C,"$2,350","40.79960938,-73.96672043",Studio,1 Bath,NA,https://streeteasy.com/building/908-amsterdam-avenue-new_york/5c?featured=1
Rental Unit,Astoria,31-43 Vernon Boulevard #508,"$2,376","40.76819992,-73.93560028",Studio,1 Bath,451,https://streeteasy.com/building/vernon-tower/508?featured=1
