type,place,address,price,beds,baths,sqft,url,work_time,work_lines,friend_time,friend_lines,park_acres,Borough,arrests
Condo,Kensington,150 Ocean Parkway #6B,2095,1 Bed,1 Bath,800,https://streeteasy.com/building/150-ocean-parkway-brooklyn/rental/3901356,43,2,84,2,61.4,Brooklyn,1
Rental Unit,South Harlem,304 West 112th Street #1E,1988,Studio,1 Bath,NA,https://streeteasy.com/building/304-west-112-street-new_york/1e,37,1,62,2,79.7,Manhattan,4
Rental Unit,Crown Heights,901 Washington Avenue #177,2380,1 Bed,1 Bath,NA,https://streeteasy.com/building/901-washington-avenue-brooklyn/177,35,1,79,2,5.2,Brooklyn,4.1
Rental Unit,Forest Hills,66-20 108th Street #4G,1950,1 Bed,1 Bath,800,https://streeteasy.com/building/66_20-108-street-forest_hills/4g,64,1,55,2,1.9,Queens,0.7
Rental Unit,Greenwood,306 21st Street #3,1999,Studio,1 Bath,NA,https://streeteasy.com/building/306-21-street-brooklyn/3,42,1,79,2,1.6,Brooklyn,3.3
Rental Unit,Sunset Park,880 47th Street #B9,2100,1 Bed,1 Bath,NA,https://streeteasy.com/building/880-47-street-brooklyn/b9,48,2,79,2,5,Brooklyn,2.6
Rental Unit,Kensington,3765 18th Avenue #B16,1750,1 Bed,1 Bath,NA,https://streeteasy.com/building/3765-18-avenue-brooklyn/b16,48,2,82,2,7.2,Brooklyn,1.6
Rental Unit,Washington Heights,473 West 158th Street #57,1650,1 Bed,1 Bath,NA,https://streeteasy.com/building/473-west-158-street-new_york/57,45,1,55,3,32.3,Manhattan,2.5
Rental Unit,Astoria,34-17 30th Street #3E,2300,1 Bed,1 Bath,NA,https://streeteasy.com/building/34_17-30-street-astoria/3e,43,1,24,1,0.6,Queens,2.4
Rental Unit,South Harlem,35 Central Park North #2C,2300,1 Bed,1 Bath,NA,https://streeteasy.com/building/35-central-park-north-new_york/2c,36,1,55,2,31.5,Manhattan,9
Condo,East Harlem,1635 Lex Avenue #7E,2200,Studio,1 Bath,NA,https://streeteasy.com/building/lexington-hill-condominiums/7e,35,1,41,2,26.6,Manhattan,80.9
Rental Unit,Rego Park,93-10 Queens Boulevard #3H,1975,1 Bed,1 Bath,900,https://streeteasy.com/building/93_10-queens-boulevard-rego_park/3h,57,1,47,2,1.4,Queens,2.4
Rental Unit,Upper West Side,226 West 78th Street #5F,2250,Studio,1 Bath,NA,https://streeteasy.com/building/226-west-78-street-new_york/5f,24,1,47,2,22.3,Manhattan,4.8
Condo,Rego Park,64-48 Booth Street #5B,2050,1 Bed,1 Bath,900,https://streeteasy.com/building/64_48-booth-street-rego_park/5b,57,1,47,2,0,Queens,1.9
Rental Unit,Kew Gardens,83-43 118th Street #5L,1950,1 Bed,1 Bath,800,https://streeteasy.com/building/83_43-118-street-kew_gardens/5l,63,1,65,3,34.4,Queens,0.6
Rental Unit,Bedford-Stuyvesant,7 Spencer Place #2C,2295,Studio,1 Bath,NA,https://streeteasy.com/building/7-spencer-place-brooklyn/2c,28,1,71,3,0.7,Brooklyn,11.6
Co-op,Forest Hills,110-11 72nd Avenue #1F,2000,1 Bed,1 Bath,900,https://streeteasy.com/building/barclay-plaza-north/1f,64,1,48,2,33.7,Queens,0.8
Rental Unit,Fort Hamilton,59 Gelston Avenue #3M,1650,Studio,1 Bath,NA,https://streeteasy.com/building/59-gelston-avenue-brooklyn/3m,54,1,88,2,2.2,Brooklyn,7.3
Rental Unit,Weeksville,1689 Sterling Place #F,2235,1 Bed,1.5 Baths,NA,https://streeteasy.com/building/1689-sterling-place-brooklyn/f,51,1,84,2,7.9,Brooklyn,5.7
Rental Unit,Clinton Hill,491 Myrtle Avenue #3B,2359,Studio,1 Bath,NA,https://streeteasy.com/building/491-myrtle-avenue-brooklyn/3b,31,2,79,1,2.9,Brooklyn,7.4
Rental Unit,Sunnyside,45-25 43rd Street #5K,1950,Studio,1 Bath,NA,https://streeteasy.com/building/45_25-43-street-sunnyside/5k,45,2,34,2,0.7,Queens,2.5
Rental Unit,Hamilton Heights,614 Saint Nicholas Avenue #4D,2300,1 Bed,1 Bath,NA,https://streeteasy.com/building/614-st-nicholas-avenue-new_york/4d,41,1,55,2,18.1,Manhattan,5
Rental Unit,Sunnyside,41-22 42nd Street #1A,2275,1 Bed,1 Bath,NA,https://streeteasy.com/building/41_22-42-street-sunnyside/1a,45,2,34,2,1.1,Queens,2.1
Rental Unit,East Village,144 East 7th Street #B4,2400,Studio,1 Bath,NA,https://streeteasy.com/building/142-east-7-street-new_york/b4,28,1,62,1,3.4,Manhattan,7.6
Rental Unit,Bath Beach,289 Bay 17th Street #A17,1675,1 Bed,1 Bath,735,https://streeteasy.com/building/289-bay-17-street-brooklyn/a17,54,3,88,3,21.8,Brooklyn,2.1
Rental Unit,Lenox Hill,255 East 61st Street #4A,2300,Studio,1 Bath,NA,https://streeteasy.com/building/255-east-61-street-manhattan/4a,32,1,30,1,0.5,Manhattan,9.1
Condo,Astoria,24-52 38th Street #1,2100,Studio,1 Bath,500,https://streeteasy.com/building/24_52-38-street-queens/1,52,1,25,0,1.1,Queens,2.3
